X 1: Position X,Unit,Category,Collection,Y 1: Position Y,Unit,Category,Collection,Position_Z
570,um,Spot,Position,826,um,Spot,Position,440
-298,um,Spot,Position,-400,um,Spot,Position,508
-334,um,Spot,Position,-361,um,Spot,Position,517
-356,um,Spot,Position,-363,um,Spot,Position,520
-478,um,Spot,Position,-294,um,Spot,Position,526
-350,um,Spot,Position,-320,um,Spot,Position,533
-277,um,Spot,Position,-374,um,Spot,Position,541
-423,um,Spot,Position,-659,um,Spot,Position,556
-268,um,Spot,Position,-340,um,Spot,Position,556
-309,um,Spot,Position,-254,um,Spot,Position,556
124,um,Spot,Position,-619,um,Spot,Position,523
26,um,Spot,Position,-429,um,Spot,Position,519
120,um,Spot,Position,-258,um,Spot,Position,524
65.1,um,Spot,Position,-402,um,Spot,Position,526
136,um,Spot,Position,-317,um,Spot,Position,531
167,um,Spot,Position,-303,um,Spot,Position,530
92,um,Spot,Position,-286,um,Spot,Position,526
60,um,Spot,Position,-258,um,Spot,Position,529
47.9,um,Spot,Position,-253,um,Spot,Position,528
-121,um,Spot,Position,-663,um,Spot,Position,536
161,um,Spot,Position,-543,um,Spot,Position,538
67.7,um,Spot,Position,-367,um,Spot,Position,539
132,um,Spot,Position,-338,um,Spot,Position,534
45.3,um,Spot,Position,-320,um,Spot,Position,534
18.2,um,Spot,Position,-312,um,Spot,Position,534
-2.17,um,Spot,Position,-298,um,Spot,Position,534
21.6,um,Spot,Position,-287,um,Spot,Position,535
-11.3,um,Spot,Position,-263,um,Spot,Position,534
158,um,Spot,Position,-600,um,Spot,Position,543
34.8,um,Spot,Position,-468,um,Spot,Position,545
52.5,um,Spot,Position,-444,um,Spot,Position,544
94.9,um,Spot,Position,-444,um,Spot,Position,545
73.6,um,Spot,Position,-414,um,Spot,Position,539
19.7,um,Spot,Position,-404,um,Spot,Position,544
162,um,Spot,Position,-392,um,Spot,Position,540
94.3,um,Spot,Position,-372,um,Spot,Position,540
-25.6,um,Spot,Position,-369,um,Spot,Position,546
112,um,Spot,Position,-369,um,Spot,Position,540
24.3,um,Spot,Position,-367,um,Spot,Position,542
-30.7,um,Spot,Position,-333,um,Spot,Position,542
-107,um,Spot,Position,-280,um,Spot,Position,543
-69.1,um,Spot,Position,-278,um,Spot,Position,539
134,um,Spot,Position,-547,um,Spot,Position,549
112,um,Spot,Position,-491,um,Spot,Position,550
153,um,Spot,Position,-489,um,Spot,Position,550
30.1,um,Spot,Position,-485,um,Spot,Position,552
84.7,um,Spot,Position,-478,um,Spot,Position,551
58.1,um,Spot,Position,-466,um,Spot,Position,552
-55.2,um,Spot,Position,-453,um,Spot,Position,549
-37.7,um,Spot,Position,-446,um,Spot,Position,553
-24.4,um,Spot,Position,-397,um,Spot,Position,548
-65.6,um,Spot,Position,-391,um,Spot,Position,550
-104,um,Spot,Position,-378,um,Spot,Position,551
-89.2,um,Spot,Position,-377,um,Spot,Position,549
-66,um,Spot,Position,-364,um,Spot,Position,547
-150,um,Spot,Position,-358,um,Spot,Position,552
-182,um,Spot,Position,-328,um,Spot,Position,551
-137,um,Spot,Position,-317,um,Spot,Position,550
-87.1,um,Spot,Position,-316,um,Spot,Position,547
-204,um,Spot,Position,-299,um,Spot,Position,552
-145,um,Spot,Position,-287,um,Spot,Position,552
-166,um,Spot,Position,-276,um,Spot,Position,549
-199,um,Spot,Position,-263,um,Spot,Position,550
-144,um,Spot,Position,-612,um,Spot,Position,554
90.3,um,Spot,Position,-547,um,Spot,Position,557
121,um,Spot,Position,-515,um,Spot,Position,553
95.3,um,Spot,Position,-514,um,Spot,Position,556
19.3,um,Spot,Position,-508,um,Spot,Position,555
72.5,um,Spot,Position,-502,um,Spot,Position,555
-94.6,um,Spot,Position,-477,um,Spot,Position,559
-9.08,um,Spot,Position,-473,um,Spot,Position,555
-29.2,um,Spot,Position,-466,um,Spot,Position,556
8.37,um,Spot,Position,-467,um,Spot,Position,555
-80.9,um,Spot,Position,-444,um,Spot,Position,556
-133,um,Spot,Position,-437,um,Spot,Position,558
-181,um,Spot,Position,-412,um,Spot,Position,554
-148,um,Spot,Position,-410,um,Spot,Position,556
-135,um,Spot,Position,-396,um,Spot,Position,559
-205,um,Spot,Position,-388,um,Spot,Position,556
-225,um,Spot,Position,-380,um,Spot,Position,558
-193,um,Spot,Position,-360,um,Spot,Position,557
-225,um,Spot,Position,-335,um,Spot,Position,555
-202,um,Spot,Position,-334,um,Spot,Position,555
-251,um,Spot,Position,-316,um,Spot,Position,557
411,um,Spot,Position,-577,um,Spot,Position,499
437,um,Spot,Position,-450,um,Spot,Position,522
505,um,Spot,Position,-261,um,Spot,Position,523
315,um,Spot,Position,-255,um,Spot,Position,522
428,um,Spot,Position,-646,um,Spot,Position,526
248,um,Spot,Position,-506,um,Spot,Position,528
402,um,Spot,Position,-374,um,Spot,Position,529
360,um,Spot,Position,-363,um,Spot,Position,530
386,um,Spot,Position,-337,um,Spot,Position,531
