X 1: Position X,Unit,Category,Collection,Y 1: Position Y,Unit,Category,Collection,Position_Z
-669,um,Spot,Position,67.5,um,Spot,Position,225
-979,um,Spot,Position,656,um,Spot,Position,304
-945,um,Spot,Position,651,um,Spot,Position,323
340,um,Spot,Position,414,um,Spot,Position,314
139,um,Spot,Position,1126,um,Spot,Position,286
158,um,Spot,Position,1141,um,Spot,Position,285
257,um,Spot,Position,1236,um,Spot,Position,330
-789,um,Spot,Position,-608,um,Spot,Position,435
-496,um,Spot,Position,-418,um,Spot,Position,444
141,um,Spot,Position,-399,um,Spot,Position,425
1765,um,Spot,Position,-473,um,Spot,Position,428
-269,um,Spot,Position,-20.4,um,Spot,Position,347
-274,um,Spot,Position,60.6,um,Spot,Position,388
-208,um,Spot,Position,19.3,um,Spot,Position,415
-455,um,Spot,Position,18.7,um,Spot,Position,425
-433,um,Spot,Position,-30,um,Spot,Position,428
-465,um,Spot,Position,77.4,um,Spot,Position,436
-82.2,um,Spot,Position,246,um,Spot,Position,396
-59.5,um,Spot,Position,139,um,Spot,Position,409
118,um,Spot,Position,256,um,Spot,Position,409
247,um,Spot,Position,221,um,Spot,Position,424
231,um,Spot,Position,223,um,Spot,Position,425
382,um,Spot,Position,-17.9,um,Spot,Position,382
623,um,Spot,Position,-87.3,um,Spot,Position,387
591,um,Spot,Position,-167,um,Spot,Position,409
606,um,Spot,Position,-167,um,Spot,Position,412
304,um,Spot,Position,-126,um,Spot,Position,411
440,um,Spot,Position,-14.4,um,Spot,Position,447
580,um,Spot,Position,104,um,Spot,Position,447
877,um,Spot,Position,230,um,Spot,Position,432
1243,um,Spot,Position,-120,um,Spot,Position,416
-886,um,Spot,Position,549,um,Spot,Position,429
-757,um,Spot,Position,547,um,Spot,Position,439
-208,um,Spot,Position,308,um,Spot,Position,420
-376,um,Spot,Position,440,um,Spot,Position,446
248,um,Spot,Position,368,um,Spot,Position,337
1.26,um,Spot,Position,506,um,Spot,Position,382
111,um,Spot,Position,592,um,Spot,Position,384
-162,um,Spot,Position,406,um,Spot,Position,398
-141,um,Spot,Position,427,um,Spot,Position,412
119,um,Spot,Position,572,um,Spot,Position,415
-131,um,Spot,Position,565,um,Spot,Position,446
284,um,Spot,Position,572,um,Spot,Position,337
523,um,Spot,Position,433,um,Spot,Position,385
604,um,Spot,Position,309,um,Spot,Position,394
598,um,Spot,Position,542,um,Spot,Position,436
993,um,Spot,Position,627,um,Spot,Position,441
1526,um,Spot,Position,413,um,Spot,Position,360
1535,um,Spot,Position,429,um,Spot,Position,353
-583,um,Spot,Position,757,um,Spot,Position,411
-218,um,Spot,Position,979,um,Spot,Position,423
-408,um,Spot,Position,984,um,Spot,Position,448
31.6,um,Spot,Position,958,um,Spot,Position,383
271,um,Spot,Position,768,um,Spot,Position,435
397,um,Spot,Position,764,um,Spot,Position,443
733,um,Spot,Position,940,um,Spot,Position,442
788,um,Spot,Position,1087,um,Spot,Position,445
-70.2,um,Spot,Position,1229,um,Spot,Position,412
-4.17,um,Spot,Position,1437,um,Spot,Position,425
420,um,Spot,Position,1353,um,Spot,Position,354
426,um,Spot,Position,1324,um,Spot,Position,434
392,um,Spot,Position,1406,um,Spot,Position,431
687,um,Spot,Position,1370,um,Spot,Position,423
1218,um,Spot,Position,1247,um,Spot,Position,411
1254,um,Spot,Position,1249,um,Spot,Position,416
1291,um,Spot,Position,1349,um,Spot,Position,423
-825,um,Spot,Position,1805,um,Spot,Position,424
869,um,Spot,Position,1549,um,Spot,Position,439
-726,um,Spot,Position,-635,um,Spot,Position,487
-413,um,Spot,Position,-613,um,Spot,Position,472
-369,um,Spot,Position,-645,um,Spot,Position,554
205,um,Spot,Position,-685,um,Spot,Position,463
115,um,Spot,Position,-689,um,Spot,Position,486
-79.3,um,Spot,Position,-778,um,Spot,Position,493
234,um,Spot,Position,-798,um,Spot,Position,502
-128,um,Spot,Position,-778,um,Spot,Position,515
5.25,um,Spot,Position,-874,um,Spot,Position,529
165,um,Spot,Position,-883,um,Spot,Position,533
-68.8,um,Spot,Position,-956,um,Spot,Position,559
367,um,Spot,Position,-939,um,Spot,Position,523
256,um,Spot,Position,-929,um,Spot,Position,522
398,um,Spot,Position,-936,um,Spot,Position,533
358,um,Spot,Position,-710,um,Spot,Position,537
569,um,Spot,Position,-728,um,Spot,Position,547
937,um,Spot,Position,-729,um,Spot,Position,511
1090,um,Spot,Position,-705,um,Spot,Position,543
696,um,Spot,Position,-679,um,Spot,Position,541
785,um,Spot,Position,-942,um,Spot,Position,555
683,um,Spot,Position,-656,um,Spot,Position,558
-689,um,Spot,Position,-557,um,Spot,Position,518
-619,um,Spot,Position,-229,um,Spot,Position,522
-672,um,Spot,Position,-544,um,Spot,Position,525
-573,um,Spot,Position,-395,um,Spot,Position,459
-504,um,Spot,Position,-390,um,Spot,Position,479
-520,um,Spot,Position,-460,um,Spot,Position,498
-386,um,Spot,Position,-206,um,Spot,Position,507
-177,um,Spot,Position,-210,um,Spot,Position,550
-221,um,Spot,Position,-189,um,Spot,Position,550
-194,um,Spot,Position,-250,um,Spot,Position,556
-236,um,Spot,Position,-248,um,Spot,Position,558
-262,um,Spot,Position,-228,um,Spot,Position,558
-213,um,Spot,Position,-215,um,Spot,Position,554
-272,um,Spot,Position,-194,um,Spot,Position,555
78,um,Spot,Position,-189,um,Spot,Position,482
235,um,Spot,Position,-453,um,Spot,Position,506
-47.7,um,Spot,Position,-221,um,Spot,Position,545
-90.7,um,Spot,Position,-212,um,Spot,Position,545
-56.8,um,Spot,Position,-202,um,Spot,Position,542
-108,um,Spot,Position,-197,um,Spot,Position,542
-146,um,Spot,Position,-182,um,Spot,Position,540
72.2,um,Spot,Position,-321,um,Spot,Position,552
146,um,Spot,Position,-305,um,Spot,Position,550
62.8,um,Spot,Position,-281,um,Spot,Position,551
-72,um,Spot,Position,-260,um,Spot,Position,550
-136,um,Spot,Position,-250,um,Spot,Position,550
-108,um,Spot,Position,-248,um,Spot,Position,551
24.6,um,Spot,Position,-387,um,Spot,Position,556
-161,um,Spot,Position,-290,um,Spot,Position,560
-91.6,um,Spot,Position,-292,um,Spot,Position,557
526,um,Spot,Position,-572,um,Spot,Position,523
659,um,Spot,Position,-202,um,Spot,Position,518
584,um,Spot,Position,-191,um,Spot,Position,520
463,um,Spot,Position,-430,um,Spot,Position,541
309,um,Spot,Position,-294,um,Spot,Position,553
528,um,Spot,Position,-400,um,Spot,Position,556
548,um,Spot,Position,-326,um,Spot,Position,558
890,um,Spot,Position,-516,um,Spot,Position,455
875,um,Spot,Position,-293,um,Spot,Position,496
776,um,Spot,Position,-586,um,Spot,Position,504
965,um,Spot,Position,-272,um,Spot,Position,508
976,um,Spot,Position,-397,um,Spot,Position,515
733,um,Spot,Position,-337,um,Spot,Position,518
958,um,Spot,Position,-233,um,Spot,Position,516
763,um,Spot,Position,-523,um,Spot,Position,527
719,um,Spot,Position,-272,um,Spot,Position,536
711,um,Spot,Position,-232,um,Spot,Position,540
770,um,Spot,Position,-217,um,Spot,Position,557
1423,um,Spot,Position,-324,um,Spot,Position,545
1473,um,Spot,Position,-293,um,Spot,Position,549
-796,um,Spot,Position,109,um,Spot,Position,469
-929,um,Spot,Position,78,um,Spot,Position,489
-678,um,Spot,Position,-1.29,um,Spot,Position,510
-812,um,Spot,Position,-52.1,um,Spot,Position,528
-875,um,Spot,Position,94.8,um,Spot,Position,538
-868,um,Spot,Position,-97.9,um,Spot,Position,543
-848,um,Spot,Position,-75.8,um,Spot,Position,545
-791,um,Spot,Position,-26.6,um,Spot,Position,542
-601,um,Spot,Position,175,um,Spot,Position,551
