X 1: Position X,Unit,Category,Collection,Y 1: Position Y,Unit,Category,Collection,Position_Z
-964,um,Spot,Position,-80.1,um,Spot,Position,264
204,um,Spot,Position,113,um,Spot,Position,300
255,um,Spot,Position,813,um,Spot,Position,321
-475,um,Spot,Position,-670,um,Spot,Position,436
138,um,Spot,Position,-603,um,Spot,Position,380
135,um,Spot,Position,-709,um,Spot,Position,402
137,um,Spot,Position,-693,um,Spot,Position,406
-537,um,Spot,Position,-305,um,Spot,Position,404
-451,um,Spot,Position,-186,um,Spot,Position,431
-124,um,Spot,Position,-395,um,Spot,Position,436
291,um,Spot,Position,-386,um,Spot,Position,417
570,um,Spot,Position,-367,um,Spot,Position,417
297,um,Spot,Position,-267,um,Spot,Position,436
584,um,Spot,Position,-388,um,Spot,Position,444
1129,um,Spot,Position,-199,um,Spot,Position,337
1241,um,Spot,Position,-369,um,Spot,Position,417
-201,um,Spot,Position,54.3,um,Spot,Position,409
-76.8,um,Spot,Position,-122,um,Spot,Position,379
-61,um,Spot,Position,-109,um,Spot,Position,387
-41.7,um,Spot,Position,-98.4,um,Spot,Position,395
-129,um,Spot,Position,177,um,Spot,Position,408
173,um,Spot,Position,-111,um,Spot,Position,426
-28.5,um,Spot,Position,-39.3,um,Spot,Position,421
562,um,Spot,Position,189,um,Spot,Position,370
632,um,Spot,Position,42.8,um,Spot,Position,392
367,um,Spot,Position,189,um,Spot,Position,407
431,um,Spot,Position,-50.4,um,Spot,Position,421
856,um,Spot,Position,-10.4,um,Spot,Position,438
1299,um,Spot,Position,138,um,Spot,Position,407
1492,um,Spot,Position,236,um,Spot,Position,442
-614,um,Spot,Position,417,um,Spot,Position,409
70.4,um,Spot,Position,305,um,Spot,Position,403
374,um,Spot,Position,314,um,Spot,Position,421
372,um,Spot,Position,387,um,Spot,Position,429
405,um,Spot,Position,514,um,Spot,Position,442
871,um,Spot,Position,562,um,Spot,Position,420
994,um,Spot,Position,375,um,Spot,Position,430
1276,um,Spot,Position,298,um,Spot,Position,446
-442,um,Spot,Position,770,um,Spot,Position,425
-65.4,um,Spot,Position,992,um,Spot,Position,416
50.2,um,Spot,Position,835,um,Spot,Position,437
313,um,Spot,Position,1001,um,Spot,Position,354
533,um,Spot,Position,868,um,Spot,Position,401
696,um,Spot,Position,873,um,Spot,Position,439
-18.6,um,Spot,Position,1189,um,Spot,Position,437
426,um,Spot,Position,1242,um,Spot,Position,343
685,um,Spot,Position,1134,um,Spot,Position,422
835,um,Spot,Position,1338,um,Spot,Position,437
-307,um,Spot,Position,-847,um,Spot,Position,464
-247,um,Spot,Position,-671,um,Spot,Position,496
